クラス名,備考,,
スマートガスメータ,,,
,,,
,,,
,,,
EPC,Property name,Contents of property,Value range(decimal notation)
0x80,動作状態,ON／OFF の状態を示す。,ON＝0x30，OFF＝0x31
0xE0,ガス区分設定,ガスメータの種別を示す。,0x30：都市ガス 0x31：LP ガス 0x32：天然 0x33：その他
0xE1,所有者区分設定,メータの所有者を区分で示す。,0x30：指定なし 0x31：都市ガス 0x32：LP ガス 0x33：民間会社 0x34：個人
0xE2,積算ガス消費量計測値,積算ガス消費量を示す。,"0～0x3B9AC9FF(0～999,999,999m3）"
0xE3,積算ガス消費量計測値単位,積算ガス消費量計測値、履歴の単位（乗率）を示す。,0x00：1ｍ3 0x01：0.1ｍ3 0x02：0.01ｍ3 0x03：0.001ｍ3 0x04：0.0001ｍ3 0x05：0.00001ｍ3 0x06：0.000001ｍ3
0xE4,積算ガス消費量履歴情報,積算履歴収集日及び積算ガス消費量の計測結果履歴を、30分毎データを過去24時間で示す。,"0x0000～0x0063：0x0～0x3B9AC9FF(0～99)：(0～999,999,999 m3）"
0xE5,積算ガス消費量履歴収集日設定,30分毎の計測値履歴データを収集する日を示す。,0x00～0x63(0～99) 0:当日 1～99:前日の日数
0xE6,検針データ異常検知状態,メータが検針データの異常を検知した状態を示す。,異常検知有 0x41 異常検知無 0x42
0xE7,セキュリティデータ情報,メータが作動した保安情報をビット割付で定義するセキュリティデータを示す。,詳細は説明(9)参照
0xE8,センター弁遮断状態,メータのガス遮断弁をセンターが遮断した状態を示す。,センター弁遮断有り 0x41 センター弁遮断無し 0x42
0xE9,センター弁遮断復帰許可状態,メータのガス遮断弁の遮断状態からの復帰許可状態を示す。,センター弁遮断復帰許可 0x41 センター弁遮断復帰非許可 0x42
0xEA,緊急弁遮断状態,メータのガス遮断弁を緊急に遮断した状態を示す。,緊急弁遮断有り 0x41 緊急弁遮断無し 0x42
0xEB,遮断弁開閉状態,遮断弁の開閉状態を示す。,遮断弁開状態 0x41 遮断弁閉状態 0x42
0xEC,遮断理由履歴情報,遮断弁によりガスを遮断した理由の履歴を各1バイトでビット割付で定義する。履歴を過去3回分示す。履歴3：履歴2：履歴1,0xFF：0xFF：0xFF
0xED,ID番号設定,メータのID番号を表す。,000000～FFFFFF（初期値：“000000”）
0xEE,検定満期設定,メータの検定満了年月を示す。,YYYYMM YYYY（西暦），MM（月）
0xD0,日時付積算ガス消費量計測値情報,積算ガス消費量及び計測年月日、時刻を示す。 ・計測年月日 YYYY:MM:DD ・計測時刻 HH:MM：SS ・積算ガス消費量9桁,"1～4 バイト目： 0～0x270f:1～0x0C:1～0x1F (=0～9999):(=1～12):(1～31) 5～7 バイト目：0～0x17:0～0x3B:0～0x3B(=0～23):(=0～59):(=0～59) 8～11 バイト目： 0x00000000～0x3B9AC9FF(0～999,999,999）"
0xD1,ガス消費量履歴情報,ガス消費量履歴、履歴スタート 年月日・時刻、履歴スタート指針値及び積算間隔を示す。 ・年月日 YYYY:MM:DD ・時刻 HH:MM:SS ・ガス消費量履歴データ ・履歴スタート時積算ガス消費量 ・積算時間間隔（5桁：分）,"1～4 バイト目： 0～0x270f:1～0x0C:1～0x1F(=0～9999):(=1～12):(1～31) 5～7 バイト目：0～0x17:0～0x3B:0～0x3B(=0～23):(=0～59): (=0～59) 8～103 バイト目： 0x00000000～0x0001869F×24(0～99.999m3)×24 104～107 バイト目：0x00000000～0x3B9AC9FF(0～999,999,999 m3） 108～109 バイト目：0x0001～0xFFFF (1～65535)"
