Class name,Remarks,Group code,Class code,Whether or not detailed requirements are provided,,,,,,,
Package-type commercial air conditioner (outdoor unit),,0x01,0x46,○,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
EPC,Property name,Contents of property,Value range(decimal notation),Unit,Data type,Data size,Access rule(Anno),Access rule(Set),Access rule(Get),Announcement at status change,Remark
0x80,Operation status,This property indicates the ON/OFF status.,"ON=0x30, OFF=0x31",-,unsigned char,1,-,optional,mandatory,mandatory,
0xB0,Operation mode setting,"Used to acquire the current operation mode setting (i.e. “automatic,” “cooling,” “heating,” “dehumidification” or “air circulator”).",The following values shall be used: Automatic: 0x41 Cooling: 0x42 Heating: 0x43 Dehumidification: 0x44 Air circulator: 0x45,,unsigned char,1,-,optional,optional,mandatory,
0xB8,Rated power consumption of outdoor unit,"Used to acquire the rated power consumption for the cooling, heating and dehumidification modes.",0x0000.0xFFFD (0.65533W) Cooling: heating: dehumidification,W,unsigned short × 3,6,-,-,optional,-,
0xB9,Measured electric current consumption of outdoor unit,Used to acquire the measured electric current consumption.,0x0000.0xFFFD (0.6553.3A),0.1A,unsigned short,2,-,-,optional,-,
0xBE,Measured outdoor air temperature 1,Used to acquire the measured temperature of the outdoor air.,0x81.0x7D (-127.125°C),1°C,signed char,1,-,-,optional,-,
0xAA,“Special” state,This property indicates when the air conditioner is in the “special” state (i.e. “defrosting” state).,"“Normal operation” state = 0x40, “defrosting” state = 0x41",-,unsigned char,1,-,-,optional,-,
0xD0,Operation status of compressor,Used to acquire the operation status (i.e. ON or OFF) of the compressor.,Compressor ON: 0x41 Compressor OFF: 0x42,,unsigned char,1,-,-,optional,-,
0xD1,Operation mode information,"Used to acquire the current operation mode (i.e. “cooling,” “heating,” “dehumidification” or “other”).",Cooling: 0x42 Heating: 0x43 Dehumidification: 0x44 Other: 0x40,,unsigned char,1,-,-,mandatory,-,
0xD2,Fan rotation speed,Used to acquire the rotation speed of the fan of the outdoor unit (expressed in %).,0x00.0x64 (0.100%),%,unsigned char,1,-,-,optional,-,
0xDB,Measured power consumption of outdoor unit,Used to acquire the measured power consumption of the outdoor unit.,0x0000.0xFFFD (0.65533W),W,unsigned short,2,-,-,optional,-,
0xEE,Measured outdoor air temperature 2,Used to acquire the measured temperature of the outdoor air.,"0xF554.0x7FFD (-273,2 .3276.5°C)",0.1°C,signed short,2,-,-,optional,-,
