Class name,Remarks,Group code,Class code,Whether or not detailed requirements are provided,,,,,,,
Flame sensor,,0x00,0x21,○,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
EPC,Property name,Contents of property,Value range(decimal notation),Unit,Data type,Data size,Access rule(Anno),Access rule(Set),Access rule(Get),Announcement at status change,Remark
0x80,Operation status,This property indicates the ON/OFF status.,"ON=0x30, OFF=0x31",-,unsigned char,1,-,optional,mandatory,mandatory,
0xB0,Detection threshold level,Specifies detection threshold level (8-step).,Detection threshold level 0x31.0x38,-,unsigned char,1,-,optional,optional,-,
0xB1,Flame detection status,This property indicates flame detection status.,Flame detection status found = 0x41 Flame detection status not found = 0x42,-,unsigned char,1,-,-,mandatory,mandatory,
0xBF,Flame detection status resetting,Resets flame detection status by setting 0x00.,Reset = 0x00,-,unsigned char,1,-,optional,-,-,
