Class name,Remarks,Group code,Class code,Whether or not detailed requirements are provided,,,,,,,
Electric heater,,0x01,0x42,○,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
EPC,Property name,Contents of property,Value range(decimal notation),Unit,Data type,Data size,Access rule(Anno),Access rule(Set),Access rule(Get),Announcement at status change,Remark
0x80,Operation status,This property indicates the ON/OFF status.,"ON=0x30, OFF=0x31",-,unsigned char,1,-,optional,mandatory,mandatory,
0xB1,Automatic temperature control setting,Used to specify whether or not to use the automatic temperature control function.,"Automatic = 0x41, non-automatic = 0x42",-,unsigned char,1,-,optional,optional,-,
0xB3,Temperature setting,Used to set the temperature.,0x00.0x32 (0.50°C),°C,unsigned char,1,-,mandatory,mandatory,-,
0xBB,Measured room temperature,This property indicates the measured room temperature.,0x81.0x7E (-128.127°C),°C,signed char,1,-,-,optional,-,
0xBC,Remotely set temperature,This property indicates the last temperature (°C) set by the user using a remote controller unit.,0x00.0x32 (0.50°C),°C,unsigned char,1,-,-,optional,-,
0xA0,Air flow rate setting,Used to specify the air flow rate or to specify using the function to automatically control the air flow rate. The air flow rate is selected from among the 8 predefined levels.,Automatic air flow rate control used = 0x41 Air flow rate = 0x31 to 0x38,-,unsigned char,1,-,optional,optional,-,
0x90,ON timer-based reservation setting,Used to specify whether or not to use the ON timer-based reservation function.,ON timer-based reservation function ON: 0x41 ON timer-based reservation function OFF: 0x42,-,unsigned char,1,-,optional,optional,-,
0x91,ON timer setting (time),Used to specify the time for the ON timer-based reservation function in the HH:MM format.,0.0x17: 0.0x3B (= 0.23): (= 0.59),-,unsigned char × 2,2,-,optional,optional,-,
0x92,ON timer setting (relative time),Used to specify the relative time for the ON timer-based reservation function in the HH:MM format,0.0x17: 0.0x3B (= 0.23): (= 0.59),-,unsigned char × 2,2,-,optional,optional,-,
0x94,OFF timer-based reservation setting,Used to specify whether or not to use the OFF timer-based reservation function.,OFF timer-based reservation function ON: 0x41 OFF timer-based reservation function OFF: 0x42,-,unsigned char,1,-,optional,optional,-,
0x95,OFF timer setting (time),Used to specify the time for the OFF timer-based reservation function in the HH:MM format.,0.0x17: 0.0x3B (= 0.23): (= 0.59),-,unsigned char × 2,2,-,optional,optional,-,
0x96,Set value of OFF timer relative time,Timer value HH:MM,0.0x17: 0.0x3B (= 0.23):(= 0.59),-,unsigned char × 2,2,-,optional,optional,-,
