Class name,Remarks,Group code,Class code,Whether or not detailed requirements are provided,,,,,,,
General lighting class,"Including chandelier, stand, bracket, down light, spot light, pendant light, ceiling light, wall light, etc.",0x02,0x90,○,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
EPC,Property name,Contents of property,Value range(decimal notation),Unit,Data type,Data size,Access rule(Anno),Access rule(Set),Access rule(Get),Announcement at status change,Remark
0x80,Operation status,This property indicates the ON/OFF status.,"ON=0x30, OFF=0x31",-,unsigned char,1,-,mandatory,mandatory,mandatory,
0xB0,Illuminance level,This property indicates illuminance level in %.,0x00.0x64 (0.100%),%,unsigned char,1,-,optional,optional,-,
0xB1,Light color setting,This property indicates the color setting.,"Incandescent lamp color = 0x41, white = 0x42, daylight white = 0x43, daylight color = 0x44, other = 0x40",.,unsigned char,1,-,optional,optional,-,
0xB2,Illuminance level step setting,Used to specify the illuminance level in terms of steps and acquire the current setting.,From 0x01 to the maximum specifiable illuminance level value (from dark to bright),.,unsigned char,1,-,optional,optional,-,
0xB3,Light color step setting,Used to specify the light color in terms of steps and acquire the current setting.,From 0x01 to the maximum specifiable light color value (from incandescent lamp color to white),.,unsigned char,1,-,optional,optional,-,
0xB4,Maximum specifiable values,Used to acquire the maximum specifiable illuminance level value and the maximum specifiable light color value.,First byte: illuminance  Second byte: light color 0x01.0xFF (Step 1.Step 255) 0x00 (when the function is not implemented),.,unsigned char ×2,2,-,-,optional,-,
0xB5,Maximum value of settable level for night lighting,Used to acquire the maximum values of illuminance and light color settable levels for night lighting.,First byte: illuminance Second byte: light color 0x01–0xFF (Step 1–Step 255) 0x00 (when the function is not implemented),,unsigned char ×2,2,-,-,optional,-,
0xB6,Lighting mode setting,Auto/main lighting/night lighting/color lighting,"Auto=0x41, main lighting=0x42, night lighting=0x43, color lighting=0x45",,unsigned char,1,-,mandatory,mandatory,-,
0xB7,Illuminance level setting for main lighting,Indicates the illuminance level of main lighting in %.,0x00–0x64(0–100%),%,unsigned char,1,-,optional,optional,-,
0xB8,Illuminance level step setting for main lighting,Used to set the illuminance level by the number of steps for main lighting and to acquire the current setting.,0x01 to the maximum value of settable illuminance level(dark to bright),,unsigned char,1,-,optional,optional,-,
0xB9,Illuminance level setting for night lighting,Indicates the illuminance level of night lighting in %.,0x00–0x64 (0–100%),%,unsigned char,1,-,optional,optional,-,
0xBA,Illuminance level step setting for night lighting,Used to set the illuminance level by the number of steps for night lighting and to acquire the current setting status.,0x01 to the maximum value of settable illuminance level (dark to bright),,unsigned char,1,-,optional,optional,-,
0xBB,Light color setting for main lighting,Used to set the light color for main lighting.,"Incandescent lamp color=0x41, white= 0x42, daylight white=0x43, daylight color= 0x44, other=0x40",,unsigned char,1,-,optional,optional,-,
0xBC,Light color level step setting for main lighting,Used to set the light color level by the number of steps for main lighting and to acquire the current setting.,0x01to the maximum value of settable light color level (incandescent lamp color to white),,unsigned char,1,-,optional,optional,-,
0xBD,Light color setting for night lighting,Used to set the light color for night lighting.,"incandescent lamp color=0x41, white=0x42, daylight white=0x43, daylight color=0x44",,unsigned char,1,-,optional,optional,-,
0xBE,Light color level step setting for night lighting,Used to set the light color level by the number of steps for night lighting and to acquire the current setting.,0x01 to the maximum value of settable light color level (incandescent lamp color to white),,unsigned char,1,-,optional,optional,-,
0xBF,Lighting mode status in auto mode,Used to acquire the current lighting mode in auto mode.,"main lighting=0x42, night lighting=0x43, off=0x44, color lighting=0x45",,unsigned char,1,-,optional,optional,-,
0xC0,RGB setting for color lighting,Used to set the RGB value for color lighting and to acquire the current setting.,"Byte 1: R Byte 2: G Byte 3: B 0x00–0xFF (0–255) Minimum brightness=0x00,maximum brightness=0xFF",,unsigned char×3,3,-,optional,optional,-,
0x90,ON timer reservation setting,Reservation ON/OFF,"Reservation ON=0x41, Reservation OFF=0x42",.,unsigned char,1,-,optional,optional,-,
0x91,ON timer setting,Timer value HH:MM,0.0x17: 0.0x3B (=0.23):(=0.59),.,unsigned char ×2,2,-,optional,optional,-,
0x94,OFF timer reservation setting,Reservation ON/OFF,"Reservation ON=0x41, Reservation OFF=0x42",.,unsigned char,1,-,optional,optional,-,
0x95,OFF timer setting,Timer value HH:MM,0.0x17: 0.0x3B (=0.23):(=0.59),.,unsigned char ×2,2,-,optional,optional,-,
