Class name,Remarks,Group code,Class code,Whether or not detailed requirements are provided,,,,,,,
Storage battery,,0x02,0x7D,○,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
EPC,Property name,Contents of property,Value range(decimal notation),Unit,Data type,Data size,Access rule(Anno),Access rule(Set),Access rule(Get),Announcement at status change,Remark
0xE6,Battery type,This property indicates the battery type.,Type=0x00.0xFF,,unsigned char,1,-,-,mandatory,-,
0xE7,Charging amount setting 1,This property specifies the charge electric energy in Wh.,"0x00000000.0x3B9AC9FF (0. 999,999,999Wh)",Wh,unsigned long,4,-,optional,optional,-,
0xE8,Discharging amount setting 1,This property specifies the discharge electric energy in Wh.,"0x00000000.0x3B9AC9FF (0. 999,999,999Wh)",Wh,unsigned long,4,-,optional,optional,-,
0xE9,Charging amount setting 2,This property specifies the charging capacity in increments of 0.1Ah.,"0x0000-0x7FFE (0-3,276.6Ah)",0.1Ah,unsigned short,2,-,optional,optional,-,
0xEA,Discharging amount setting 2,This property specifies the discharging capacity in increments of 0.1Ah.,"0x0000.0x7FFE (0.3,276.6Ah)",0.1Ah,unsigned short,2,-,optional,optional,-,
0xEB,Charge electric energy setting,This property specifies the charge electric energy in W.,"0x00000000.0x3B9AC9FF (0. 999,999,999Wh)",W,unsigned long,4,-,optional,optional,-,
0xEC,Discharge electric energy setting,This property specifies the discharge electric energy in W.,"0x00000000.0x3B9AC9FF (0. 999,999,999Wh)",W,unsigned long,4,-,optional,optional,-,
0xED,Charge current setting,This property specifies the charge current in increments of 0.1A.,"0x0000.0xFFFD (0.6,553.3A)",0.1A,unsigned short,2,-,optional,optional,-,
0xEE,Discharge current setting,This property specifies the discharge current in increments of 0.1A.,"0x0000.0xFFFD (0.6,553.3A)",0.1A,unsigned short,2,-,optional,optional,-,
0xEF,Rated voltage (Independent),This property indicates the rated voltage of a battery in the independent status in volts.,"0x0000–0x7FFE (0–32,766V)",V,unsigned short,2,-,-,optional,-,
