Class name,Remarks,Group code,Class code,Whether or not detailed requirements are provided,,,,,,,
Water flow meter,,0x02,0x81,○,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
EPC,Property name,Contents of property,Value range(decimal notation),Unit,Data type,Data size,Access rule(Anno),Access rule(Set),Access rule(Get),Announcement at status change,Remark
0x80,Operation status,This property indicates the ON/OFF status.,"ON=0x30, OFF=0x31",.,unsigned char,1,-,optional,mandatory,mandatory,
0xD0,Flowing water classification,This property indicates the water flowmeter type.,0x30 : running water 0x31 : recycled water 0x32 : warm water 0x33 : other water,.,unsigned char,1,-,optional,optional,-,
0xD1,Owner classification,This property indicates the owner of the meter in the form of owner classification.,0x30 : Not specified  0x31 : Public waterworks company 0x32 : Private sector company 0x33 : Individual,.,unsigned char,1,-,optional,optional,-,
0xE0,Measured cumulative amount of flowing water,This property indicates the cumulative amount (consumption) of flowing water using a 9-digit number.,"0.0x3B9AC9FF (0.999,999,999)",m3,unsigned long,4,-,-,mandatory,-,
0xE1,Unit for measured cumulative amounts of flowing water,This property indicates the unit (multiplying factor) for the measured cumulative amount of flowing water and the historical data of measured cumulative amounts of flowing water.,0x00: 1m3 0x01: 0.1m3 0x02: 0.01m3 0x03: 0.001m3 0x04: 0.0001m3 (Initial value) 0x05: 0.00001m3 0x06: 0.000001m3,.,unsigned char,1,-,-,mandatory,-,
0xE2,Historical data of measured cumulative amounts of flowing water,"This property indicates the historical data of measured cumulative amounts (consumptions) of running water, which consists of 48 pieces of half-hourly data for the preceding 24 hours.","0x0.0x3B9AC9FF (0.999,999.999m3)",0.001 m3,unsigned long ×48,192,-,-,optional,-,
0xE3,Detection of abnormal value in metering data,This property indicates whether the meter has detected an abnormal value in the metering data.,Abnormal value detected: 0x41 No abnormal value detected: 0x42,.,unsigned char,1,-,-,optional,mandatory,
0xE4,Security data information,Provides security information  about the abnormal states detected by the meter in the form of security data that identifies the abnormal states by means of bit assignment.,0.0xFFFFFFFF,.,unsigned long,4,-,-,optional,-,
0xE5,ID number setting,This property indicates the ID number of the meter.,The ID number is specified using ASCII code. (Initial value : “000000”),,unsigned char,6,-,optional,optional,-,
0xE6,Verification expiration information,This property indicates the month and year in which the verification of the meter will expire.,The month and year are specified using ASCII code. xxxx xx Year Month,,unsigned char,6,-,optional,optional,-,
