Class name,Remarks,Group code,Class code,Whether or not detailed requirements are provided,,,,,,,
Hot water generator,,0x02,0x72,○,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
EPC,Property name,Contents of property,Value range(decimal notation),Unit,Data type,Data size,Access rule(Anno),Access rule(Set),Access rule(Get),Announcement at status change,Remark
0x80,Operation status,This  property  indicates  the  ON/OFF status.,"ON=0x30, OFF=0x31",-,unsigned char,1,-,optional,mandatory,mandatory,
0xD0,Hot water heating status,This property indicates hot water heating status.,Hot water heating status found = 0x41 Hot water heating status not found = 0x42,-,unsigned char,1,-,-,mandatory,-,
0xD1,Set value of hot water temperature,This property indicates set value of hot water temperature in °C.,0x00.0x64 (0.100),°C,unsigned char,1,-,optional,optional,-,
0xD2,Hot water Warmer setting,Hot water warmer setting,Hot water warmer operation = 0x41 Hot water warmer operation resetting = 0x42,-,unsigned char,1,-,optional,optional,-,
0xDA,“Duration of automatic operation” setting,Timer value (HH:MM),0.0x17: 0.0x3B (= 0.23): (= 0.59) Limitless: 0xFFFF,-,unsigned char× 2,2,-,optional,optional,-,
0xDB,Remaining automatic operation time,Timer value (HH:MM),0.0x17: 0.0x3B (= 0.23): (= 0.59) Infinite: 0xFFFF,-,unsigned char × 2,2,-,-,optional,-,
0xE1,Set value of bath temperature,This property indicates set value of bath temperature in °C.,0x00.0x64 (0.100),°C,unsigned char,1,-,optional,optional,-,
0xE2,Bath water heater status,This property indicates whether or not the bath water heater is heating bath water.,Heating = 0x41 Not heating = 0x42,-,unsigned char,1,-,-,mandatory,-,
0xE3,Bath auto mode setting,Bath auto mode ON/OFF,Auto ON = 0x41 Auto OFF = 0x42,-,unsigned char,1,-,mandatory,mandatory,-,
0xE4,Bath additional boil-up operation setting,Additional boil-up ON/OFF,Additional boil-up ON = 0x41 Additional boil-up OFF = 0x42,-,unsigned char,1,-,optional,optional,-,
0xE5,Bath hot water adding operation setting,Hot water addition ON/OFF,Hot water addition ON = 0x41 Hot water addition OFF = 0x42,-,unsigned char,1,-,optional,optional,-,
0xE6,Bath water temperature lowering operation setting,Hot water temperature lowering ON/OFF,Hot water temperature lowering ON = 0x41 Hot water temperature lowering OFF = 0x42,-,unsigned char,1,-,optional,optional,-,
0xE7,Bath hot water volume setting 1,This property indicates bath hot water volume in liters.,0x00.0xFD (0.253 liters),liters,unsigned char,1,-,optional,optional,-,
0xE8,Bath hot water volume setting 2,Specifies bath hot water volume (8-step).,0x31.0x38,-,unsigned char,1,-,optional,optional,-,
0xEE,Bath hot water volume setting 3,This property indicates bath hot water volume in liters.,0x0000.0xFFFD (0 to 65533 liters),liter,unsigned short,2,-,optional,optional,-,
0xE9,Bathroom priority setting,Bathroom priority ON/OFF,"Bathroom priority ON = 0x41, bathroom priority OFF = 0x42",-,unsigned char,1,-,optional,optional,-,
0xEA,Shower hot water supply status,Shower hot water supply ON/OFF,Shower hot water supply ON = 0x41 Shower hot water supply OFF = 0x42,-,unsigned char,1,-,-,optional,-,
0xEB,Kitchen hot water supply status,Kitchen hot water supply ON/OFF,Kitchen hot water supply ON = 0x41 kitchen hot water supply OFF = 0x42,-,unsigned char,1,-,-,optional,-,
0xEC,Hot water warmer ON timer reservation setting,Reservation ON/OFF,"Reservation ON = 0x41, reservation OFF = 0x42",-,unsigned char,1,-,optional,optional,-,
0xED,Set value of hot water warmer ON timer time,Timer value (HH:MM),0.0x17: 0.0x3B (= 0.23):(= 0.59),-,unsigned char × 2,2,-,optional,optional,-,
0x90,ON timer reservation setting,Reservation ON/Reservation OFF,Reservation ON = 0x41 Reservation OFF = 0x42,-,unsigned char,1,-,optional,optional,-,
0x91,Set value of ON timer time,Timer value (HH:MM),0.0x17: 0.0x3B (= 0.23):(= 0.59),-,unsigned char × 2,2,-,optional,optional,-,
0x92,Set value of ON timer relative time,Timer value (HH:MM),0.0x17: 0.0x3B (= 0.23):(= 0.59),-,unsigned char × 2,2,-,optional,optional,-,
