Class name,Remarks,Group code,Class code,Whether or not detailed requirements are provided,,,,,,,
Garden sprinkler,,0x02,0x67,○,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
EPC,Property name,Contents of property,Value range(decimal notation),Unit,Data type,Data size,Access rule(Anno),Access rule(Set),Access rule(Get),Announcement at status change,Remark
0x80,Operation status,This property indicates the ON/OFF status.,"ON=0x30, OFF=0x31",.,unsigned char,1,-,optional,mandatory,mandatory,
0xE0,Sprinkle valve open/close setting,Open/close of sprinkle valve,"Automatic ON=0x40    manual ON=0x41, manual OFF=0x42",.,unsigned char,1,-,mandatory,mandatory,-,
0xE1,Sprinkle interval setting,OFF / daily / every other day / every 3 days / once a week,0x40／0x41／0x42／0x43／0x44,.,unsigned long,1,-,optional,optional,-,
0xE2,Number of sprinkles setting,Number of sprinkles in a day(up to 2 times) First ON／second ON／both ON,0x41／0x42／0x43,.,unsigned char,1,-,optional,optional,-,
0xE3,Sprinkle time setting 1,Set timer value HH:MM and get updated time,0.0x17 : 0.0x3B (=0.23) : (=0.59),.,unsigned char ×2,2,-,optional,optional,-,
0xE4,Sprinkle time setting 2,Set timer value HH:MM and get updated time,0.0x17 : 0.0x3B (=0.23) : (=0.59),.,unsigned char ×2,2,-,optional,optional,-,
0xE5,Sprinkle duration setting,Set timer value MM 0 to 59 minutes,0-0x3B (=0.59),.,unsigned char,1,-,optional,optional,-,
