Class name,Remarks,Group code,Class code,Whether or not detailed requirements are provided,,,,,,,
Bath water level sensor,,0x00,0x15,○,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
EPC,Property name,Contents of property,Value range(decimal notation),Unit,Data type,Data size,Access rule(Anno),Access rule(Set),Access rule(Get),Announcement at status change,Remark
0x80,Operation status,This property indicates the ON/OFF status.,"ON=0x30, OFF=0x31",-,unsigned char,1,-,optional,mandatory,mandatory,
0xB0,Bath water level over detection threshold level,This property indicates the bath water level over detection threshold level in cm.,0x00.0xFD (0.253),cm,unsigned char,1,-,-,optional,-,
0xB1,Bath water level over detection status,This property indicates if bath water level exceeds detection water level threshold level.,Water level over detection status found = 0x41 Water level over detection status not found = 0x42,-,unsigned char,1,-,-,optional,mandatory,
0xE0,Measured value of bath water level,This property indicates measured value of bath water level in cm.,0x00.0xFD (0.253),cm,unsigned char,1,-,-,mandatory,-,
