Class name,Remarks,Group code,Class code,Whether or not detailed requirements are provided,,,,,,,
Air conditioner ventilation fan,,0x01,0x34,○,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
EPC,Property name,Contents of property,Value range(decimal notation),Unit,Data type,Data size,Access rule(Anno),Access rule(Set),Access rule(Get),Announcement at status change,Remark
0x80,Operation status,This property indicates the ON/OFF status.,"ON=0x30, OFF=0x31",-,unsigned char,1,-,mandatory,mandatory,mandatory,
0xB4,Set value of room relative humidity,Set value of relative humidity at auto ventilating operation.,"0x00.0x64, (0.100%)",%,unsigned char,1,-,optional,optional,-,
0xBF,Ventilation auto setting,Auto/Non-auto,"Auto = 0x41, Non-auto = 0x42",-,unsigned char,1,-,optional,optional,-,
0xBA,Measured value of room relative humidity,Measured value of room relative humidity,0x00.0x64 (0.100%),%,unsigned char,1,-,-,optional,-,
0xA0,Set value of ventilation air flow rate,Sets ventilation air flow rate level and ventilation air flow rate auto status. This property specifies ventilation air flow rate level (8-step).,Ventilation air flow rate auto status = 0x41 Ventilation air flow rate level = 0x31.0x38,-,unsigned char,1,-,optional,optional,-,
0xE0,Heat exchanger operation setting,This property indicates ON/OFF status of heat exchanger.,"Heat exchanger ON = 0x41, OFF=0x42",-,unsigned char,1,-,optional,optional,-,
0xC0,Measured value of CO2 concentration,This property indicates measured value of CO2 concentration in ppm.,0x0000.0xFFFD (0.65533 ppm),ppm,unsigned short,2,-,-,optional,-,
0xC1,Smoke (cigarette) detection status,This property indicates smoke (cigarette) detection status.,Smoke (cigarette) detection status found = 0x41 Smoke (cigarette) detection status not found = 0x42,-,unsigned char,1,-,-,optional,-,
